id,geometry
92,"POLYGON ((108.22197870941524 16.060039091524445, 108.22202193849023 16.060028202621236, 108.22201206479933 16.05998302606385, 108.22200508985622 16.059983716038285, 108.22199946887619 16.059966863382076, 108.22197924170146 16.059968931765916, 108.22196867355039 16.059925105940046, 108.221933121859 16.059937327117762, 108.22194438765638 16.059981151408145, 108.22196181785948 16.059976390784282, 108.22197870941524 16.060039091524445))"
93,"POLYGON ((108.22215258182092 16.060105156538967, 108.22218287805859 16.060083165186402, 108.22212205096908 16.060027644644, 108.22210185400907 16.060042530406577, 108.22215258182092 16.060105156538967))"
94,"POLYGON ((108.2222041628585 16.060085816663474, 108.2222393219802 16.060055044757984, 108.22221064818682 16.06002542550624, 108.22225558001242 16.05999699315604, 108.22228215209674 16.06002290672696, 108.22231976730288 16.059998200808117, 108.22227957984106 16.059967595055234, 108.22230012401545 16.059952033908807, 108.22227459046292 16.05992274504079, 108.22221958722966 16.059970088451475, 108.22220454632307 16.05995258196969, 108.22213908939838 16.060004670621648, 108.22215168056309 16.06001880950001, 108.22213564964467 16.06002525355886, 108.2222041628585 16.060085816663474))"
95,"POLYGON ((108.22120377028517 16.06010623435074, 108.22127977327229 16.06008852746477, 108.22128173762776 16.060033880393213, 108.2212579221476 16.059993456689586, 108.22118054134836 16.060018587218824, 108.22120377028517 16.06010623435074))"
96,"POLYGON ((108.22129930757777 16.06008848447684, 108.22134254305594 16.060080294102903, 108.22131722745321 16.059995349986824, 108.22127679848303 16.060010280197805, 108.22129930757777 16.06008848447684))"
97,"POLYGON ((108.22134671945066 16.060076237300116, 108.22143669295608 16.06006592023087, 108.22140155140794 16.059956037487506, 108.22132138002897 16.059981174209376, 108.22134671945066 16.060076237300116))"
98,"POLYGON ((108.22104343050715 16.060157856817426, 108.22110688686816 16.06014489980087, 108.22110193345665 16.060115228215988, 108.22103570553178 16.060136286549092, 108.22104343050715 16.060157856817426))"
99,"POLYGON ((108.22104960306767 16.060112644916764, 108.2210433686168 16.060131547481355, 108.22110123421568 16.06011455515232, 108.2210885431313 16.060057916513784, 108.22104041930932 16.060064093782845, 108.221043341639 16.060120079309197, 108.22104960306767 16.060112644916764))"
100,"POLYGON ((108.22102987357302 16.06002971228283, 108.2210772997336 16.060023536550922, 108.22107024226055 16.059989147379945, 108.22108417311067 16.059979672311147, 108.22106939066812 16.05992371287258, 108.2210115156002 16.059936657601646, 108.22101647692728 16.059969702181455, 108.22100462316693 16.059972426659147, 108.22101305848012 16.059999392181812, 108.22102561148228 16.059997340767588, 108.22102987357302 16.06002971228283))"
101,"POLYGON ((108.22152382341481 16.060033347523657, 108.22156913276693 16.060017057316553, 108.22155990440605 16.059949617454706, 108.22154805700954 16.059955040355533, 108.22154803000318 16.059943572184032, 108.2214985188614 16.059953125618854, 108.22152382341481 16.060033347523657))"
102,"POLYGON ((108.22160468131868 16.06000348700173, 108.22166673910517 16.05998918369736, 108.22164420286848 16.059899511288375, 108.22159819112976 16.05991377925198, 108.2216094393759 16.05995018298057, 108.22158781847997 16.059952928998445, 108.22160468131868 16.06000348700173))"
103,"POLYGON ((108.2216841709053 16.059985097694227, 108.22175110589578 16.059968085216493, 108.22170620182176 16.05986024783573, 108.22166364499286 16.059860341565283, 108.22166022028743 16.05988733318039, 108.22165044678923 16.059884656297506, 108.2216841709053 16.059985097694227))"
104,"POLYGON ((108.22177685231381 16.05993969522558, 108.2218326375469 16.0599281040987, 108.2217988863469 16.059816194555324, 108.22174729341654 16.05983047484554, 108.22177685231381 16.05993969522558))"
105,"POLYGON ((108.22185493542386 16.059916586741306, 108.2219037441148 16.05990501096714, 108.22190924584822 16.059871268754275, 108.22187706478877 16.059833561962137, 108.22183734626515 16.059853887526426, 108.22185485912115 16.05988420602302, 108.22185493542386 16.059916586741306))"
